# traditional<TAB>simplified — frozen SoT for the Han t2s fold (D-GLOSSARY-ST-DEDUP / D-KG-TL-SIMPLIFIED-TRADITIONAL-DUP).
# Generated from sdks/python/loreweave_extraction/_han_simplified_table.py; both the Python dict and
# sdks/go/loreweave_extraction/t2s_table.go are kept in parity with this file (parity tests in each language).
來	来
個	个
們	们
兒	儿
劍	剑
動	动
務	务
員	员
嚴	严
國	国
塵	尘
孫	孙
學	学
寶	宝
將	将
帝	帝
師	师
張	张
愛	爱
戰	战
時	时
書	书
會	会
東	东
楊	杨
樂	乐
樣	样
殺	杀
獨	独
獸	兽
現	现
瑤	瑶
產	产
畫	画
發	发
盡	尽
種	种
競	竞
筆	笔
紅	红
純	纯
細	细
終	终
結	结
絕	绝
給	给
統	统
經	经
綠	绿
維	维
網	网
緊	紧
縣	县
總	总
繼	继
續	续
羅	罗
義	义
聖	圣
聯	联
聲	声
職	职
與	与
興	兴
舉	举
舊	旧
華	华
萬	万
葉	叶
藥	药
蘇	苏
蘭	兰
處	处
號	号
術	术
衛	卫
裝	装
裡	里
製	制
複	复
見	见
規	规
視	视
覽	览
觀	观
計	计
記	记
設	设
許	许
話	话
認	认
語	语
說	说
課	课
調	调
請	请
謝	谢
證	证
識	识
議	议
護	护
讀	读
變	变
讓	让
豐	丰
貝	贝
財	财
責	责
貴	贵
買	买
費	费
資	资
賢	贤
賣	卖
賴	赖
趙	赵
趨	趋
車	车
軍	军
輪	轮
輸	输
轉	转
農	农
這	这
進	进
運	运
過	过
達	达
遠	远
適	适
遲	迟
選	选
遺	遗
還	还
鄉	乡
鄧	邓
鄭	郑
釋	释
鋼	钢
錄	录
錢	钱
錯	错
鍵	键
鎮	镇
鏡	镜
鐵	铁
鑰	钥
長	长
門	门
閃	闪
開	开
間	间
關	关
陰	阴
陳	陈
陸	陆
陽	阳
隊	队
階	阶
際	际
隨	随
險	险
隱	隐
雖	虽
雙	双
離	离
難	难
雲	云
電	电
霧	雾
靈	灵
靜	静
韓	韩
響	响
頁	页
順	顺
預	预
領	领
頭	头
題	题
願	愿
類	类
顧	顾
顯	显
風	风
飄	飘
飛	飞
養	养
餘	余
館	馆
馬	马
馳	驰
驅	驱
驚	惊
骨	骨
體	体
高	高
鬥	斗
鬧	闹
魂	魂
魔	魔
魚	鱼
魯	鲁
鮮	鲜
鯨	鲸
鳥	鸟
鳳	凤
鳴	鸣
鵬	鹏
鶴	鹤
鷹	鹰
鹽	盐
麗	丽
麥	麦
麵	面
麼	么
黃	黄
點	点
黨	党
齊	齐
齒	齿
龍	龙
龐	庞
龜	龟
